name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
india,2023-06-01,88.3,71.3,78.9,92.6,71.3,80.1,68.7,73.4,0.008,100,4.17,rain,0,0,23,11.4,293.1,1007.4,48.5,1.7,296.7,25.4,9,10,2023-06-01T05:23:49,2023-06-01T19:14:19,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-02,92.2,72.6,83.3,92.8,72.6,83.9,63.7,53.9,0,0,0,,0,0,17.9,6.9,297.7,1006.3,41.5,2.5,268.5,23.2,9,10,2023-06-02T05:23:36,2023-06-02T19:14:49,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-03,96,75.9,86.6,99.8,75.9,88,64.1,49.1,0,0,0,,0,0,13.6,8,269.5,1006.1,8.1,2.3,319.8,27.9,10,10,2023-06-03T05:23:25,2023-06-03T19:15:19,0.47,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-04,91.4,77,84.9,101.8,77,89,69.3,60.4,0.103,100,4.17,rain,0,0,14.8,8.3,254.1,1005.7,65.8,1.6,253,21.7,8,10,2023-06-04T05:23:16,2023-06-04T19:15:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-05,98.9,78.6,89.1,105.4,78.6,92,67.5,52.7,0,0,0,,0,0,17.4,11.4,262.5,1004.2,27.8,2,305.1,26.4,9,10,2023-06-05T05:23:08,2023-06-05T19:16:16,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-06,100.4,75.2,88.6,107.4,75.2,90.1,64.6,48.2,0.014,100,4.17,rain,0,0,23,9.2,269,1004,47.7,2,288.7,25.1,9,10,2023-06-06T05:23:01,2023-06-06T19:16:44,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-07,100.4,78.5,90.3,103.1,78.5,90.5,60.1,39.4,0,0,0,,0,0,27.1,8.6,269.6,1003.8,17.2,2.2,283.2,24.5,9,10,2023-06-07T05:22:55,2023-06-07T19:17:11,0.61,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-08,102.2,78.7,92.9,107.9,78.7,93,59.4,35.2,0,0,0,,0,0,23.9,11.4,291.5,1003.1,8.8,2.1,301.8,26,9,10,2023-06-08T05:22:51,2023-06-08T19:17:37,0.65,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-09,104.2,83.8,92.8,110.2,85.7,95.5,64.6,40.9,0,0,0,,0,0,21.9,12.4,258.1,1000.3,39.1,2.3,306.7,26.3,9,10,2023-06-09T05:22:48,2023-06-09T19:18:02,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-10,105.8,83,94,115.8,86,97.2,64.9,39.5,0,0,0,,0,0,25.3,10.3,258.9,998.8,45.9,2.2,274.9,23.9,9,10,2023-06-10T05:22:47,2023-06-10T19:18:27,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-11,100.4,80.6,91,108.7,84.6,94.8,67.4,48.5,0.022,100,8.33,rain,0,0,23,12.8,278.8,999.6,37.2,2.1,282.7,24.4,9,10,2023-06-11T05:22:46,2023-06-11T19:18:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-12,104,84.2,94.8,115.5,88.4,101.1,69.3,45.2,0,0,0,,0,0,24.6,13.8,277.5,998.6,21.6,1.9,306,26.4,9,10,2023-06-12T05:22:47,2023-06-12T19:19:13,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-13,106.2,88,97.7,119,94.8,103.3,67.5,39.8,0,0,0,,0,0,33.3,20.3,267.1,998.5,7.3,1.8,294.6,25.4,9,10,2023-06-13T05:22:49,2023-06-13T19:19:35,0.82,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-14,104.2,86,95.8,119.4,86,101.2,67.4,40.5,0,0,0,,0,0,32.2,16.2,270.8,999.5,37.2,2.1,289.7,25.1,9,10,2023-06-14T05:22:53,2023-06-14T19:19:56,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-15,98.5,84.2,92.2,110,87.4,96.7,67.5,45.3,0.004,100,4.17,rain,0,0,28.9,13.6,271,1000.9,51.1,2.7,281,24.2,8,10,2023-06-15T05:22:58,2023-06-15T19:20:16,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,remote"
india,2023-06-16,100.5,82.4,89.6,113.7,86,96.9,70.8,56.3,0.319,100,4.17,rain,0,0,24.8,14.4,253.8,1000.9,61.1,2.1,260,22.6,9,10,2023-06-16T05:23:04,2023-06-16T19:20:35,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-17,99.7,83.8,90.4,114.2,93.9,100.6,74.7,62,0.011,100,4.17,rain,0,0,17.2,8.1,238,1001,73.1,2,256.1,22.2,8,10,2023-06-17T05:23:11,2023-06-17T19:20:53,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-18,95.9,84.1,88.7,113.3,92.3,99.6,75.7,66.2,0.022,100,4.17,rain,0,0,20.8,9.7,118.3,1000.9,83.3,1.8,207.4,17.8,7,10,2023-06-18T05:23:19,2023-06-18T19:21:10,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-19,91.8,78.8,83.5,106.2,78.8,91.4,76.8,81,0.344,100,12.5,rain,0,0,23,10.3,64.1,999.9,90,2,211.5,18.3,8,10,2023-06-19T05:23:29,2023-06-19T19:21:26,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-20,98.5,80.6,88.9,113.8,88.1,100.3,76.3,67.8,0.021,100,8.33,rain,0,0,25.9,9.2,76.5,999.7,67.9,2.1,221.3,19.2,7,10,2023-06-20T05:23:39,2023-06-20T19:21:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-21,97.5,78.8,87.9,116.3,78.8,99.4,77.1,71.7,0.003,100,4.17,rain,0,0,23,9.2,221,1000.9,67,2,234.8,20.1,8,10,2023-06-21T05:23:51,2023-06-21T19:21:55,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-22,97.7,84.2,90.4,116.2,95.3,104.6,77.9,68.1,0.034,100,4.17,rain,0,0,15.4,8.8,241.4,1000.9,72.9,1.9,186.5,16.2,5,30,2023-06-22T05:24:04,2023-06-22T19:22:07,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-23,98.3,80.5,91.1,117.3,89,107.5,79.3,69.8,0.235,100,4.17,rain,0,0,19,9.2,267.7,1000.6,76.6,1.8,160.1,14,8,60,2023-06-23T05:24:18,2023-06-23T19:22:19,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-24,97.6,86,90.1,116.7,97.1,105.1,78.3,69.2,0,0,0,rain,0,0,20.8,9.2,83.9,1000,80.8,1.7,206,17.8,7,60,2023-06-24T05:24:33,2023-06-24T19:22:29,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-25,86,76.5,79.6,101.9,76.5,84,77.5,93.6,1.864,100,16.67,rain,0,0,25.3,12.7,169.4,1002.1,89.1,1.6,76.2,6.6,3,60,2023-06-25T05:24:49,2023-06-25T19:22:38,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-26,88.6,78.8,83.8,108.2,78.8,94.4,79,86.1,0.043,100,8.33,rain,0,0,15.9,8.1,126.6,1002.2,81.6,1.5,141.4,12.3,6,10,2023-06-26T05:25:06,2023-06-26T19:22:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-27,92,78.8,85.1,109.3,78.8,98.7,80.5,86.9,0.173,100,8.33,rain,0,0,16.1,9.2,71.9,1001.1,77.7,1.5,230.4,20.1,7,30,2023-06-27T05:25:24,2023-06-27T19:22:52,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-28,94.8,80.6,85.2,113.6,89.3,98.8,79.9,85,0.076,100,4.17,rain,0,0,14.8,11.4,81.8,1002.1,66.7,1.7,183.3,15.7,6,30,2023-06-28T05:25:43,2023-06-28T19:22:57,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-29,91.3,76.4,83.9,110.2,76.4,95.4,79.5,87.6,0.827,100,8.33,rain,0,0,20.8,9.5,86.3,1001.5,80.7,1.9,138.3,11.9,7,30,2023-06-29T05:26:03,2023-06-29T19:23:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-06-30,89.6,77,82.8,105.6,77,93.5,79.7,90.7,0.933,100,8.33,rain,0,0,21.9,9.2,73.5,999.9,82,1.8,220.6,19,8,30,2023-06-30T05:26:24,2023-06-30T19:23:04,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-01,92.6,78.9,85.2,111,78.9,97.1,79.2,83.4,0,0,0,,0,0,14.3,6.9,68.1,1000.6,73.6,1.8,249,21.7,8,30,2023-07-01T05:26:46,2023-07-01T19:23:05,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-02,95.5,80.6,87.2,109.1,88.7,99.3,78.2,76.8,0,0,0,,0,0,13.6,5.8,49,1001.3,53.7,2.2,267.5,23.3,8,30,2023-07-02T05:27:08,2023-07-02T19:23:05,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,remote"
india,2023-07-03,99.5,84.2,91.1,117.7,98.2,107.1,79,69.9,0,0,0,,0,0,15.4,6.6,204.2,1000.6,44.8,2.1,272.5,23.4,8,10,2023-07-03T05:27:31,2023-07-03T19:23:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-04,95,78.8,88.3,117.1,78.8,105.3,80.6,78.8,0.083,100,8.33,rain,0,0,28.9,16.4,147.4,999.2,75.1,1.9,237.9,20.6,8,60,2023-07-04T05:27:55,2023-07-04T19:23:01,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-05,92.9,78.8,85.8,112.9,78.8,100.9,80.8,85.9,0.273,100,8.33,rain,0,0,28.9,17.2,81.1,999.4,82.4,1.6,214.2,18.4,7,30,2023-07-05T05:28:20,2023-07-05T19:22:57,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-06,85.8,78.8,83,101.1,78.8,94.8,80.3,91.8,0.117,100,4.17,rain,0,0,20.8,9.2,75.2,1001.3,87.3,1.7,124.7,10.8,6,30,2023-07-06T05:28:46,2023-07-06T19:22:52,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-07,91.9,80.6,85.4,111.9,89.3,99.4,80.1,84.6,0,0,0,rain,0,0,20.1,10.3,93.6,1002,81.7,1.8,166.4,14.4,6,30,2023-07-07T05:29:12,2023-07-07T19:22:45,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-08,84.2,78.8,81,98.2,78.8,89,80.1,97.1,4.668,100,20.83,rain,0,0,21.3,9.2,83,1001.9,98.5,1.2,75.3,6.4,3,30,2023-07-08T05:29:38,2023-07-08T19:22:37,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-09,86,78.7,80.5,104.7,78.7,86.2,79.9,98.1,4.562,100,20.83,rain,0,0,22.4,6.9,97.8,1001.1,93.5,1.2,80,6.9,3,30,2023-07-09T05:30:06,2023-07-09T19:22:27,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-10,87.8,78.6,81.4,111.8,78.6,89.3,80.3,96.7,0.277,100,8.33,rain,0,0,17.2,8.1,48.4,1001.4,87.9,1.4,141.3,12.3,6,30,2023-07-10T05:30:34,2023-07-10T19:22:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-11,89.7,78.8,83.2,108.1,78.8,92.6,79.6,89.8,0.016,100,4.17,rain,0,0,10.7,5.8,345.8,1001.6,87.3,1.7,180,15.4,6,30,2023-07-11T05:31:02,2023-07-11T19:22:04,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-12,89.6,80.6,84.8,111.4,89.3,99.2,80.7,88,0.036,100,8.33,rain,0,0,14.1,6.9,41.6,1001,79.3,1.6,148,12.9,7,30,2023-07-12T05:31:31,2023-07-12T19:21:50,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-13,90.9,80.5,85.4,115.2,89,101.5,81.4,88.1,0.068,100,4.17,rain,0,0,15.9,10.3,83.4,1001.1,73.6,1.6,168.9,14.5,7,30,2023-07-13T05:32:01,2023-07-13T19:21:35,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-14,90.6,80.6,85.2,112.7,89.3,101,81.4,88.9,0.054,100,4.17,rain,0,0,13,9.2,100.1,1002.2,82.8,1.6,139.1,12.1,5,30,2023-07-14T05:32:31,2023-07-14T19:21:18,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-15,92.9,78.8,85.2,112.2,78.8,99.1,80.5,87,0.539,100,4.17,rain,0,0,25.3,8.1,167.6,1001.8,75.8,1.8,181.3,15.5,6,30,2023-07-15T05:33:01,2023-07-15T19:21:00,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999"
india,2023-07-16,91.5,80.1,84.1,110.9,87.3,97,80.3,89.1,0.31,100,12.5,rain,0,0,14.5,8.1,218.8,1001.8,87.5,2,198.6,17.2,7,30,2023-07-16T05:33:32,2023-07-16T19:20:41,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-17,91.4,82.4,86.8,115.2,96,105.1,82,86.2,0,0,0,rain,0,0,13.2,6.9,187,1000.9,85.5,1.9,172.9,15.1,5,30,2023-07-17T05:34:03,2023-07-17T19:20:20,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-18,89.6,82.4,84.9,111.8,94.1,101.9,82.3,92.2,0.024,100,12.5,rain,0,0,16.3,8.1,107.8,1000.7,90.1,1.6,160.9,14,5,30,2023-07-18T05:34:35,2023-07-18T19:19:58,0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-19,95,82.4,87.6,116.1,94.1,104.7,81.2,82.6,0,0,0,,0,0,21,9.2,101.4,1000.5,78.4,2.1,230.6,20,7,30,2023-07-19T05:35:07,2023-07-19T19:19:34,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-20,98.3,84.2,91,119.7,100.7,107.9,79.6,70.8,0.004,100,4.17,rain,0,0,13.6,5.8,102.2,1000.5,71.3,2.3,262.9,22.5,8,30,2023-07-20T05:35:39,2023-07-20T19:19:10,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-21,98.7,86,91.8,119.2,101.5,111.7,80.9,71.7,0,0,0,,0,0,17,9.2,108,1002,62.4,2.1,234.5,20.3,8,30,2023-07-21T05:36:11,2023-07-21T19:18:43,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-22,95.5,84.2,89.8,118.6,103,109.5,81.4,77.2,0,0,0,,0,0,24.8,11.4,82.6,1004.2,61.2,2.1,167.3,14.5,7,30,2023-07-22T05:36:44,2023-07-22T19:18:16,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-23,95.6,84.2,89.9,116.1,96.1,106.4,79.6,72.4,0.007,100,4.17,rain,0,0,29.8,12.8,83.2,1004.4,52.5,2.3,249.1,21.7,8,30,2023-07-23T05:37:17,2023-07-23T19:17:47,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-24,98.6,84.2,90.5,119.6,98.2,107,79.3,70.6,0,0,0,,0,0,21.3,11.4,89.7,1001.9,65.1,2.4,214.9,18.6,7,30,2023-07-24T05:37:50,2023-07-24T19:17:16,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-25,94.9,84.2,88.3,117.1,98.2,107.1,81.4,80.8,0,0,0,rain,0,0,20.4,9.2,100.4,1002.2,76.2,2,176.7,15.2,6,30,2023-07-25T05:38:23,2023-07-25T19:16:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-26,86.7,77,81.9,101.9,77,90.6,79.3,92.1,1.263,100,12.5,rain,0,0,16.1,9.2,90.9,1004.2,80,1.7,101.6,8.7,4,30,2023-07-26T05:38:57,2023-07-26T19:16:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-27,93.2,80.5,85.3,113.5,87.5,98.8,79.9,84.6,0.008,100,4.17,rain,0,0,11.2,6.9,159,1003.1,81.4,1.9,148.8,12.8,6,30,2023-07-27T05:39:30,2023-07-27T19:15:38,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-28,91.4,77,83.7,110.9,77,94.1,79.4,87.6,0.406,100,12.5,rain,0,0,9.2,9.2,242,1001.2,91,1.8,103,8.8,5,30,2023-07-28T05:40:04,2023-07-28T19:15:02,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-29,87.8,78.7,82.2,105.1,78.7,90.7,79.6,92.3,0.225,100,4.17,rain,0,0,13.9,6.9,192.2,1000.5,86.7,1.8,123.3,10.4,6,30,2023-07-29T05:40:37,2023-07-29T19:14:25,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-30,93.1,78.8,85.4,111.9,78.8,96.3,79.2,82.9,0,0,0,,0,0,15.9,8.1,252.4,999.6,69.7,2.1,203.8,17.5,7,30,2023-07-30T05:41:11,2023-07-30T19:13:47,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-07-31,93.8,82.4,87.9,113.5,93.9,103.6,79.9,78.3,0,0,0,,0,0,19.9,9.2,258.8,999.1,57.6,2,243.4,20.8,8,30,2023-07-31T05:41:45,2023-07-31T19:13:08,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-01,95.7,82.4,88.5,112.2,91.3,102.8,78.9,74.7,0,0,0,,0,0,21.9,10.3,256.2,998.3,56.4,2.4,253,21.9,8,10,2023-08-01T05:42:18,2023-08-01T19:12:28,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-02,94.9,82.4,87.3,117.3,94,102.6,79.7,78.9,0.17,100,4.17,rain,0,0,23,11.4,247.9,999,71.2,2.2,204.6,17.7,8,10,2023-08-02T05:42:52,2023-08-02T19:11:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-03,95,80.9,87,116.1,89.2,102.3,80.2,81.3,0.297,100,8.33,rain,0,0,23,11.4,266,999,76,2,212.6,18.2,8,30,2023-08-03T05:43:26,2023-08-03T19:11:03,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-04,91.6,80.6,84.8,110.9,89.3,98.1,80.1,86.8,1.867,100,12.5,rain,0,0,16.6,10.3,237.2,1001.3,89.8,1.8,153,13,5,30,2023-08-04T05:43:59,2023-08-04T19:10:19,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-05,91.4,78.8,85.1,109.9,78.8,99.4,80.9,88.3,0.258,100,12.5,rain,0,0,16.6,9.2,271.7,1002.6,91.8,1.7,153.6,13.1,5,30,2023-08-05T05:44:33,2023-08-05T19:09:34,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42182099999,VIDP,42139099999,42181099999"
india,2023-08-06,94.1,84.2,88.5,110.3,95.7,102.9,78.6,73.4,0,0,0,,0,0,22.6,13.9,245.9,1000.1,67.6,2.2,242.8,21.1,8,30,2023-08-06T05:45:07,2023-08-06T19:08:48,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
india,2023-08-07,91.7,82.4,86.6,106,89.6,96.4,75.7,70.7,0,0,0,,0,0,23.7,11.1,243.5,997.9,63.1,2.3,224.7,19.6,8,10,2023-08-07T05:45:40,2023-08-07T19:08:00,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999"
india,2023-08-08,91.8,80.6,86.8,111.4,87.1,98.1,76.8,72.7,0,0,0,,0,0,26.4,14.1,241.5,998.8,60.6,4.2,239.4,20.7,8,10,2023-08-08T05:46:13,2023-08-08T19:07:12,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,remote"
india,2023-08-09,92.2,82.5,87.4,107.7,89.6,98.2,76.1,69.7,0,0,0,,0,0,22.6,13.7,246.1,1002.5,70.6,4.4,217.2,18.8,8,10,2023-08-09T05:46:47,2023-08-09T19:06:22,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,remote"
india,2023-08-10,93.8,82.4,87.4,110.9,89.5,98.8,76.7,71,0.007,100,4.17,rain,0,0,16.8,10.3,245.6,1004.4,68,2.2,175,15,6,10,2023-08-10T05:47:20,2023-08-10T19:05:31,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-11,94.6,82.4,88.3,107.8,89.5,98.6,75.5,66.4,0,0,0,,0,0,19.9,9.4,258.2,1004.5,67,2.2,223.8,19.5,8,10,2023-08-11T05:47:53,2023-08-11T19:04:40,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-12,95,82.4,88.8,107.4,87.2,97.4,73.6,61.4,0,0,0,,0,0,21.9,11.4,244.5,1002.3,49.2,2.4,242.6,21,8,10,2023-08-12T05:48:26,2023-08-12T19:03:47,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-13,93.5,82.4,87.6,107.6,88,96.7,74.5,65.7,0,0,0,rain,0,0,22.1,10.3,224.5,1000.3,67.3,2.1,178.9,15.4,7,10,2023-08-13T05:48:59,2023-08-13T19:02:53,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-14,93.6,82.4,87.3,108.2,89.5,98,76.1,70,0,0,0,rain,0,0,15,8.1,155.5,1003.8,64.4,2.1,123.9,10.7,5,10,2023-08-14T05:49:31,2023-08-14T19:01:59,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
india,2023-08-15,91.7,80.6,86.1,115.7,88.1,100,79.2,80.5,0.06,100,8.33,rain,0,0,11.6,8.1,152.4,1004.6,73.9,1.9,222.5,19.3,8,30,2023-08-15T05:50:04,2023-08-15T19:01:03,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
